id,task,win,startf,posx_mean,posx_std,posy_mean,posy_std,eyex_mean,eyex_std,eyey_mean,eyey_std,eyexpos_corr,eyeypos_corr,path_total,path_speed,path_speed_sd,straightness,
104,1,7,16689,4.7289,22.0365,3.7506,6.2966,42.7911,16.8595,27.3635,9.8631,0.77026,-0.23462,12.3091,1.2309,0.17078,1.0077,
104,1,8,16839,2.7519,12.8226,9.7279,5.5572,43.1301,8.9099,36.4517,10.5135,0.39208,-0.31228,9.511,0.9511,0.24387,1.0055,
104,1,9,16989,3.632,7.5332,5.959,7.7917,45.1049,9.451,32.8882,9.3942,0.21164,-0.37356,8.3804,0.83804,0.12878,1.0314,
104,1,10,17139,12.2169,16.2667,1.5504,6.9222,45.8851,12.4718,27.3905,8.5107,0.51333,0.035166,11.8389,1.1839,0.31047,1.0022,
104,1,11,17289,14.1296,16.4348,0.83158,6.8439,45.2231,13.5684,23.6776,9.6483,0.61417,0.066192,17.725,1.7725,0.34943,1.0052,
104,1,12,17439,13.0742,14.7608,-1.0002,5.8791,46.7285,14.7207,23.6014,7.629,0.73401,-0.22976,20.7029,2.0703,0.078074,1.0024,
104,1,13,17589,18.4322,14.9397,-3.4746,6.1242,50.6341,13.8955,26.8332,6.1994,0.66166,-0.37502,20.1047,2.0105,0.074258,1.0008,
104,1,14,17739,15.2291,12.4816,2.3212,10.3108,49.654,12.4435,28.3623,8.2813,0.52519,-0.13611,18.4094,1.8409,0.16549,1.0011,
104,1,15,17889,24.261,25.0323,5.3284,7.3346,55.9934,15.6848,26.3435,8.3015,0.8012,-0.22796,16.2044,1.6204,0.12647,1.001,
104,1,16,18039,39.7919,25.5211,-2.4003,5.128,55.4713,18.8404,24.8389,5.6358,0.73861,-0.41557,15.0954,1.5095,0.057502,1.0009,
104,1,17,18189,18.8594,28.753,4.2195,11.7549,42.184,16.7364,31.2062,11.6768,0.77259,-0.37506,15.2223,1.5222,0.068573,1.0012,
104,1,18,18339,1.298,10.1313,7.5403,12.5074,41.5486,11.6266,34.8938,13.4803,0.37099,-0.076001,15.608,1.5608,0.044732,1.0072,
104,1,19,18489,3.8357,10.387,-1.9619,10.8881,47.6063,13.1645,28.1163,11.6734,0.47852,-0.33097,15.1061,1.5106,0.062838,1.0031,
